1111111LEANDRO FERNANDES VEIRA       09001000090010M
2222222CAROLINA  CONCEICAO           03000500050009F
3333333STEPHANIE DA SILVA            07500825085002F
4444444JOANA BEZERRA FILHO           10001000100016F
5555555MISUJEI NAKARA                05001000090008M
6666666CLAYTON DA SILVA              10001000100012M
1919199JOAÃO FERNANDES               10001000100010M
2020202FELIPE CORADI                 09001000090010M
2121212JONAS CAMARGO                 03000500050009M
2222222VINIVIUS CORREIA              10000460090000M
2323232MARIO VIEIRA                  09990460090000M
7777777JULIANA PEREIRA               07000450085022F
8888888MARIANA RODRIGUES             08750200062508F
9999999RICARDO HENRIQUE              06990699069900M
1010101FERNANDO DAMASCOAS            04401000092529M
1111111CESAR RICARDO BORGES          09250300085004M
1212121DEIDARA GATES                 05680825000001F
1313131CAROLINA SANTOS               10000460090000F
1414141RONALDO MARTINS               08150310010010M
1515151EZEQUIEL THOTEM               04200833030019M
1616161LUCAS DA SILVA                07001000090008M
1717171BRENNO CORDEIRO               05001000050008M
1818181SAMARA DE MOURA MARTINS       07750500100009F
1919199SABASTIÃO FERNANDES           10001000100010M
2020202EDEL CORADI                   09001000090010M
2121212CESAR NOMURO TANAKA           03000500050009M
2222222VINIVIUS MARTINS              10000460090000M
2323232MILTON VIEIRA DOS SANTOS      09990460090000M
2424242PAULO HENRRIQUE JUNIOR        09001000090010M
1111111LEANDRO FERNANDES VEIRA       09001000090010M
2222222CAROLINA  CONCEICAO           03000500050009F
3333333STEPHANIE DA SILVA            07500825085002F
4444444JOANA BEZERRA FILHO           10001000100016F
5555555MISUJEI NAKARA                05001000090008M
6666666CLAYTON DA SILVA              10001000100012M
1919199JOAÃO FERNANDES               10001000100010M
2020202FELIPE CORADI                 09001000090010M
2121212JONAS CAMARGO                 03000500050009M
2222222VINIVIUS CORREIA              10000460090000M
2323232MARIO VIEIRA                  09990460090000M
7777777JULIANA PEREIRA               07000450085022F
8888888MARIANA RODRIGUES             08750200062508F
9999999RICARDO HENRIQUE              06990699069900M
1010101FERNANDO DAMASCOAS            04401000092529M
1111111CESAR RICARDO BORGES          09250300085004M
1212121DEIDARA GATES                 05680825000001F
1313131CAROLINA SANTOS               10000460090000F
1414141RONALDO MARTINS               08150310010010M
1515151EZEQUIEL THOTEM               04200833030019M
1616161LUCAS DA SILVA                07001000090008M
1717171BRENNO CORDEIRO               05001000050008M
1818181SAMARA DE MOURA MARTINS       07750500100009F
1919199SABASTIÃO FERNANDES           10001000100010M
2020202EDEL CORADI                   09001000090010M
2121212CESAR NOMURO TANAKA           03000500050009M
2222222VINIVIUS MARTINS              10000460090000M
2323232MILTON VIEIRA DOS SANTOS      09990460090000M
2424242PAULO HENRRIQUE JUNIOR        09001000090010M
