2222222CAROLINA  CONCEICAO           03000500050009F
4444444JOANA BEZERRA FILHO           10001000100016F
2121212JONAS CAMARGO                 03000500050009M
7777777JULIANA PEREIRA               07000450085022F
8888888MARIANA RODRIGUES             08750200062508F
9999999RICARDO HENRIQUE              06990699069900M
1010101FERNANDO DAMASCOAS            04401000092529M
1111111CESAR RICARDO BORGES          09250300085004M
1212121DEIDARA GATES                 05680825000001F
1414141RONALDO MARTINS               08150310010010M
1515151EZEQUIEL THOTEM               04200833030019M
1717171BRENNO CORDEIRO               05001000050008M
2121212CESAR NOMURO TANAKA           03000500050009M
2222222CAROLINA  CONCEICAO           03000500050009F
4444444JOANA BEZERRA FILHO           10001000100016F
2121212JONAS CAMARGO                 03000500050009M
7777777JULIANA PEREIRA               07000450085022F
8888888MARIANA RODRIGUES             08750200062508F
9999999RICARDO HENRIQUE              06990699069900M
1010101FERNANDO DAMASCOAS            04401000092529M
1111111CESAR RICARDO BORGES          09250300085004M
1212121DEIDARA GATES                 05680825000001F
1414141RONALDO MARTINS               08150310010010M
1515151EZEQUIEL THOTEM               04200833030019M
1717171BRENNO CORDEIRO               05001000050008M
2121212CESAR NOMURO TANAKA           03000500050009M
